payment_id,customer_id,staff_id,rental_id,amount,payment_date.1,payment_timestamp,last_update,payment_month,amount_category,payment_year
96,4,1,9371,5.99,30-07-2005,18:58:00,15-02-2006 22:12,Jul-2005,High,2005
97,4,2,11069,0.99,02-08-2005,07:09:34,15-02-2006 22:12,Aug-2005,Low,2005
98,4,1,11110,2.99,02-08-2005,08:20:31,15-02-2006 22:12,Aug-2005,Low,2005
99,4,2,11529,4.99,17-08-2005,00:28:01,15-02-2006 22:12,Aug-2005,Low,2005
100,4,1,12151,2.99,18-08-2005,00:14:03,15-02-2006 22:12,Aug-2005,Low,2005
101,4,2,12294,8.99,18-08-2005,05:14:44,15-02-2006 22:12,Aug-2005,High,2005
102,4,2,12856,1.99,19-08-2005,02:19:13,15-02-2006 22:12,Aug-2005,Low,2005
103,4,1,13704,2.99,20-08-2005,09:32:04,15-02-2006 22:12,Aug-2005,Low,2005
104,4,1,13807,6.99,20-08-2005,12:55:40,15-02-2006 22:12,Aug-2005,High,2005
105,4,2,14225,4.99,21-08-2005,04:53:37,15-02-2006 22:12,Aug-2005,Low,2005
106,4,1,15147,2.99,22-08-2005,13:58:23,15-02-2006 22:12,Aug-2005,Low,2005
107,4,2,15635,1.99,23-08-2005,07:43:00,15-02-2006 22:12,Aug-2005,Low,2005
108,5,1,731,0.99,29-05-2005,07:25:16,15-02-2006 22:12,May-2005,Low,2005
109,5,1,1085,6.99,31-05-2005,11:15:43,15-02-2006 22:12,May-2005,High,2005
110,5,1,1142,1.99,31-05-2005,19:46:38,15-02-2006 22:12,May-2005,Low,2005
111,5,1,1502,3.99,15-06-2005,22:03:14,15-02-2006 22:12,Jun-2005,Low,2005
112,5,2,1631,2.99,16-06-2005,08:01:02,15-02-2006 22:12,Jun-2005,Low,2005
113,5,2,2063,4.99,17-06-2005,15:56:53,15-02-2006 22:12,Jun-2005,Low,2005
114,5,2,2570,2.99,19-06-2005,04:20:13,15-02-2006 22:12,Jun-2005,Low,2005
115,5,2,3126,4.99,20-06-2005,18:38:22,15-02-2006 22:12,Jun-2005,Low,2005
116,5,2,3677,4.99,06-07-2005,09:11:58,15-02-2006 22:12,Jul-2005,Low,2005
117,5,2,4889,2.99,08-07-2005,20:04:43,15-02-2006 22:12,Jul-2005,Low,2005
118,5,1,5016,4.99,09-07-2005,01:57:57,15-02-2006 22:12,Jul-2005,Low,2005
119,5,2,5118,5.99,09-07-2005,07:13:52,15-02-2006 22:12,Jul-2005,High,2005
120,5,2,5156,1.99,09-07-2005,08:51:42,15-02-2006 22:12,Jul-2005,Low,2005
121,5,2,5721,0.99,10-07-2005,11:09:35,15-02-2006 22:12,Jul-2005,Low,2005
122,5,1,6042,8.99,11-07-2005,03:17:04,15-02-2006 22:12,Jul-2005,High,2005
123,5,1,6663,3.99,12-07-2005,11:27:35,15-02-2006 22:12,Jul-2005,Low,2005
124,5,2,6685,4.99,12-07-2005,12:16:28,15-02-2006 22:12,Jul-2005,Low,2005
125,5,2,7293,0.99,27-07-2005,12:37:28,15-02-2006 22:12,Jul-2005,Low,2005
126,5,2,7652,0.99,28-07-2005,01:50:29,15-02-2006 22:12,Jul-2005,Low,2005
127,5,2,7829,3.99,28-07-2005,08:43:39,15-02-2006 22:12,Jul-2005,Low,2005
128,5,1,8263,2.99,29-07-2005,01:11:23,15-02-2006 22:12,Jul-2005,Low,2005
129,5,1,8978,1.99,30-07-2005,04:14:28,15-02-2006 22:12,Jul-2005,Low,2005
130,5,1,9493,4.99,30-07-2005,23:52:30,15-02-2006 22:12,Jul-2005,Low,2005
131,5,1,9888,3.99,31-07-2005,14:00:53,15-02-2006 22:12,Jul-2005,Low,2005
132,5,2,10609,4.99,01-08-2005,14:48:45,15-02-2006 22:12,Aug-2005,Low,2005
133,5,1,10625,0.99,01-08-2005,15:27:10,15-02-2006 22:12,Aug-2005,Low,2005
134,5,2,11001,4.99,02-08-2005,04:56:45,15-02-2006 22:12,Aug-2005,Low,2005
135,5,1,11179,4.99,02-08-2005,10:50:06,15-02-2006 22:12,Aug-2005,Low,2005
136,5,2,11930,3.99,17-08-2005,16:28:53,15-02-2006 22:12,Aug-2005,Low,2005
137,5,1,12145,9.99,18-08-2005,00:10:04,15-02-2006 22:12,Aug-2005,High,2005
138,5,1,12797,2.99,19-08-2005,00:24:08,15-02-2006 22:12,Aug-2005,Low,2005
139,5,1,13063,1.99,19-08-2005,09:45:41,15-02-2006 22:12,Aug-2005,Low,2005
140,5,2,13877,0.99,20-08-2005,15:16:18,15-02-2006 22:12,Aug-2005,Low,2005
141,5,2,14053,6.99,20-08-2005,22:13:59,15-02-2006 22:12,Aug-2005,High,2005
142,5,1,14430,6.99,21-08-2005,11:31:11,15-02-2006 22:12,Aug-2005,High,2005
143,5,2,14494,2.99,21-08-2005,14:02:50,15-02-2006 22:12,Aug-2005,Low,2005
144,5,2,15232,0.99,22-08-2005,17:37:02,15-02-2006 22:12,Aug-2005,Low,2005
145,5,2,13209,0.99,14-02-2006,15:16:03,15-02-2006 22:12,Feb-2006,Low,2006
146,6,2,57,4.99,25-05-2005,08:43:32,15-02-2006 22:12,May-2005,Low,2005
147,6,1,577,2.99,28-05-2005,11:09:14,15-02-2006 22:12,May-2005,Low,2005
148,6,2,916,0.99,30-05-2005,11:25:01,15-02-2006 22:12,May-2005,Low,2005
149,6,1,1575,3.99,16-06-2005,03:41:38,15-02-2006 22:12,Jun-2005,Low,2005
150,6,2,1841,2.99,16-06-2005,23:44:13,15-02-2006 22:12,Jun-2005,Low,2005
151,6,1,1966,0.99,17-06-2005,09:19:45,15-02-2006 22:12,Jun-2005,Low,2005
152,6,1,2345,0.99,18-06-2005,12:03:23,15-02-2006 22:12,Jun-2005,Low,2005
153,6,2,3983,0.99,06-07-2005,23:14:21,15-02-2006 22:12,Jul-2005,Low,2005
154,6,2,4278,2.99,07-07-2005,14:53:24,15-02-2006 22:12,Jul-2005,Low,2005
155,6,1,5553,0.99,10-07-2005,03:03:35,15-02-2006 22:12,Jul-2005,Low,2005
156,6,2,6211,5.99,11-07-2005,12:39:01,15-02-2006 22:12,Jul-2005,High,2005
157,6,1,6248,7.99,11-07-2005,15:01:54,15-02-2006 22:12,Jul-2005,High,2005
158,6,2,6686,0.99,12-07-2005,12:18:38,15-02-2006 22:12,Jul-2005,Low,2005
159,6,2,7099,2.99,27-07-2005,05:03:44,15-02-2006 22:12,Jul-2005,Low,2005
160,6,2,7136,2.99,27-07-2005,06:38:25,15-02-2006 22:12,Jul-2005,Low,2005
161,6,1,8101,0.99,28-07-2005,18:47:23,15-02-2006 22:12,Jul-2005,Low,2005
162,6,1,10271,2.99,01-08-2005,03:13:39,15-02-2006 22:12,Aug-2005,Low,2005
163,6,1,11023,2.99,02-08-2005,05:36:38,15-02-2006 22:12,Aug-2005,Low,2005
164,6,1,11398,3.99,02-08-2005,18:55:15,15-02-2006 22:12,Aug-2005,Low,2005
165,6,1,11591,6.99,17-08-2005,02:29:41,15-02-2006 22:12,Aug-2005,High,2005
166,6,1,11727,0.99,17-08-2005,08:12:20,15-02-2006 22:12,Aug-2005,Low,2005
167,6,1,11853,0.99,17-08-2005,13:39:32,15-02-2006 22:12,Aug-2005,Low,2005
168,6,2,12254,2.99,18-08-2005,04:05:29,15-02-2006 22:12,Aug-2005,Low,2005
169,6,2,13451,6.99,20-08-2005,00:18:25,15-02-2006 22:12,Aug-2005,High,2005
170,6,1,14329,7.99,21-08-2005,08:22:56,15-02-2006 22:12,Aug-2005,High,2005
171,6,1,14377,4.99,21-08-2005,09:49:28,15-02-2006 22:12,Aug-2005,Low,2005
172,6,1,15509,5.99,23-08-2005,02:51:24,15-02-2006 22:12,Aug-2005,High,2005
173,6,2,15603,0.99,23-08-2005,06:41:32,15-02-2006 22:12,Aug-2005,Low,2005
174,7,2,46,5.99,25-05-2005,06:04:08,15-02-2006 22:12,May-2005,High,2005
175,7,2,117,0.99,25-05-2005,19:30:46,15-02-2006 22:12,May-2005,Low,2005
176,7,2,748,2.99,29-05-2005,09:27:00,15-02-2006 22:12,May-2005,Low,2005
177,7,1,975,4.99,30-05-2005,21:07:15,15-02-2006 22:12,May-2005,Low,2005
178,7,1,1063,5.99,31-05-2005,08:44:29,15-02-2006 22:12,May-2005,High,2005
179,7,2,1810,0.99,16-06-2005,21:06:00,15-02-2006 22:12,Jun-2005,Low,2005
180,7,1,2250,2.99,18-06-2005,05:03:36,15-02-2006 22:12,Jun-2005,Low,2005
181,7,1,2709,0.99,19-06-2005,14:00:26,15-02-2006 22:12,Jun-2005,Low,2005
182,7,1,2888,4.99,20-06-2005,01:50:56,15-02-2006 22:12,Jun-2005,Low,2005
183,7,1,3007,0.99,20-06-2005,10:11:53,15-02-2006 22:12,Jun-2005,Low,2005
184,7,2,3639,5.99,06-07-2005,07:09:17,15-02-2006 22:12,Jul-2005,High,2005
185,7,2,4238,2.99,07-07-2005,13:22:20,15-02-2006 22:12,Jul-2005,Low,2005
186,7,2,4787,5.99,08-07-2005,16:16:04,15-02-2006 22:12,Jul-2005,High,2005
187,7,1,4856,4.99,08-07-2005,18:47:38,15-02-2006 22:12,Jul-2005,Low,2005
188,7,1,5441,8.99,09-07-2005,21:52:05,15-02-2006 22:12,Jul-2005,High,2005
189,7,1,5921,7.99,10-07-2005,21:35:12,15-02-2006 22:12,Jul-2005,High,2005
190,7,1,6174,1.99,11-07-2005,10:36:28,15-02-2006 22:12,Jul-2005,Low,2005
191,7,1,6295,2.99,11-07-2005,17:30:58,15-02-2006 22:12,Jul-2005,Low,2005
192,7,2,6761,3.99,12-07-2005,15:17:42,15-02-2006 22:12,Jul-2005,Low,2005
193,7,2,8422,5.99,29-07-2005,07:02:55,15-02-2006 22:12,Jul-2005,High,2005
194,7,2,9624,7.99,31-07-2005,04:30:03,15-02-2006 22:12,Jul-2005,High,2005
195,7,2,10330,6.99,01-08-2005,04:57:04,15-02-2006 22:12,Aug-2005,High,2005
196,7,1,10423,5.99,01-08-2005,08:19:53,15-02-2006 22:12,Aug-2005,High,2005
197,7,1,10514,4.99,01-08-2005,11:39:26,15-02-2006 22:12,Aug-2005,Low,2005
198,7,2,10644,4.99,01-08-2005,15:52:00,15-02-2006 22:12,Aug-2005,Low,2005
199,7,2,10989,3.99,02-08-2005,04:40:54,15-02-2006 22:12,Aug-2005,Low,2005
200,7,2,11542,7.99,17-08-2005,00:51:32,15-02-2006 22:12,Aug-2005,High,2005
201,7,1,12367,8.99,18-08-2005,07:57:14,15-02-2006 22:12,Aug-2005,High,2005
202,7,1,12730,2.99,18-08-2005,21:55:01,15-02-2006 22:12,Aug-2005,Low,2005
203,7,2,13373,2.99,19-08-2005,21:23:31,15-02-2006 22:12,Aug-2005,Low,2005
204,7,1,13476,2.99,20-08-2005,01:06:04,15-02-2006 22:12,Aug-2005,Low,2005
205,7,1,13594,0.99,20-08-2005,05:53:31,15-02-2006 22:12,Aug-2005,Low,2005
206,7,1,14222,5.99,21-08-2005,04:49:48,15-02-2006 22:12,Aug-2005,High,2005
207,8,2,866,6.99,30-05-2005,03:43:54,15-02-2006 22:12,May-2005,High,2005
208,8,2,1305,2.99,15-06-2005,09:59:16,15-02-2006 22:12,Jun-2005,Low,2005
209,8,1,2095,5.99,17-06-2005,18:21:35,15-02-2006 22:12,Jun-2005,High,2005
210,8,2,3114,4.99,20-06-2005,17:57:47,15-02-2006 22:12,Jun-2005,Low,2005
211,8,1,3475,5.99,05-07-2005,23:01:21,15-02-2006 22:12,Jul-2005,High,2005
212,8,1,4003,0.99,07-07-2005,00:09:02,15-02-2006 22:12,Jul-2005,Low,2005
213,8,2,4175,2.99,07-07-2005,10:02:03,15-02-2006 22:12,Jul-2005,Low,2005
214,8,2,4409,3.99,07-07-2005,21:47:29,15-02-2006 22:12,Jul-2005,Low,2005
215,8,1,4503,3.99,08-07-2005,02:17:12,15-02-2006 22:12,Jul-2005,Low,2005
216,8,1,5300,2.99,09-07-2005,15:40:46,15-02-2006 22:12,Jul-2005,Low,2005
217,8,2,5341,2.99,09-07-2005,17:13:23,15-02-2006 22:12,Jul-2005,Low,2005
218,8,1,6375,4.99,11-07-2005,21:39:46,15-02-2006 22:12,Jul-2005,Low,2005
219,8,1,6647,0.99,12-07-2005,10:43:53,15-02-2006 22:12,Jul-2005,Low,2005
220,8,1,8809,1.99,29-07-2005,21:42:49,15-02-2006 22:12,Jul-2005,Low,2005
221,8,2,9629,2.99,31-07-2005,04:54:43,15-02-2006 22:12,Jul-2005,Low,2005
222,8,2,10141,0.99,31-07-2005,22:08:29,15-02-2006 22:12,Jul-2005,Low,2005
223,8,2,10561,2.99,01-08-2005,13:05:35,15-02-2006 22:12,Aug-2005,Low,2005
224,8,1,11232,9.99,02-08-2005,13:04:12,15-02-2006 22:12,Aug-2005,High,2005
225,8,2,11284,2.99,02-08-2005,14:42:45,15-02-2006 22:12,Aug-2005,Low,2005
226,8,1,12613,2.99,18-08-2005,17:16:01,15-02-2006 22:12,Aug-2005,Low,2005
227,8,1,14114,0.99,21-08-2005,01:07:11,15-02-2006 22:12,Aug-2005,Low,2005
228,8,1,15374,7.99,22-08-2005,22:09:09,15-02-2006 22:12,Aug-2005,High,2005
229,8,1,15764,2.99,23-08-2005,13:05:10,15-02-2006 22:12,Aug-2005,Low,2005
230,8,1,15805,4.99,23-08-2005,14:31:19,15-02-2006 22:12,Aug-2005,Low,2005
231,9,2,350,4.99,27-05-2005,05:01:28,15-02-2006 22:12,May-2005,Low,2005
232,9,2,877,0.99,30-05-2005,05:48:59,15-02-2006 22:12,May-2005,Low,2005
233,9,2,1075,4.99,31-05-2005,10:13:34,15-02-2006 22:12,May-2005,Low,2005
234,9,2,3142,7.99,20-06-2005,19:59:28,15-02-2006 22:12,Jun-2005,High,2005
235,9,2,3262,4.99,21-06-2005,04:08:43,15-02-2006 22:12,Jun-2005,Low,2005
236,9,1,4454,2.99,07-07-2005,23:37:00,15-02-2006 22:12,Jul-2005,Low,2005
237,9,2,4748,0.99,08-07-2005,13:59:38,15-02-2006 22:12,Jul-2005,Low,2005
238,9,1,4796,1.99,08-07-2005,16:35:44,15-02-2006 22:12,Jul-2005,Low,2005
239,9,1,5659,2.99,10-07-2005,07:45:40,15-02-2006 22:12,Jul-2005,Low,2005
240,9,2,6019,4.99,11-07-2005,02:08:29,15-02-2006 22:12,Jul-2005,Low,2005
241,9,1,6165,5.99,11-07-2005,10:17:29,15-02-2006 22:12,Jul-2005,High,2005
242,9,2,7616,0.99,28-07-2005,00:15:26,15-02-2006 22:12,Jul-2005,Low,2005
243,9,1,7801,2.99,28-07-2005,07:51:56,15-02-2006 22:12,Jul-2005,Low,2005
244,9,1,9043,4.99,30-07-2005,06:34:07,15-02-2006 22:12,Jul-2005,Low,2005
245,9,1,10451,0.99,01-08-2005,09:11:25,15-02-2006 22:12,Aug-2005,Low,2005
246,9,1,10454,4.99,01-08-2005,09:14:00,15-02-2006 22:12,Aug-2005,Low,2005
247,9,2,11400,5.99,02-08-2005,19:00:52,15-02-2006 22:12,Aug-2005,High,2005
248,9,1,11556,0.99,17-08-2005,01:11:53,15-02-2006 22:12,Aug-2005,Low,2005
249,9,1,12228,2.99,18-08-2005,03:08:10,15-02-2006 22:12,Aug-2005,Low,2005
250,9,1,12309,2.99,18-08-2005,05:58:40,15-02-2006 22:12,Aug-2005,Low,2005
251,9,2,12652,4.99,18-08-2005,18:48:58,15-02-2006 22:12,Aug-2005,Low,2005
252,9,2,14489,7.99,21-08-2005,13:53:59,15-02-2006 22:12,Aug-2005,High,2005
253,9,1,15813,4.99,14-02-2006,15:16:03,15-02-2006 22:12,Feb-2006,Low,2006
254,10,2,1140,4.99,31-05-2005,19:36:30,15-02-2006 22:12,May-2005,Low,2005
255,10,1,1801,4.99,16-06-2005,20:21:53,15-02-2006 22:12,Jun-2005,Low,2005
256,10,1,1995,4.99,17-06-2005,11:11:14,15-02-2006 22:12,Jun-2005,Low,2005
257,10,2,2222,3.99,18-06-2005,03:26:23,15-02-2006 22:12,Jun-2005,Low,2005
258,10,1,2814,0.99,19-06-2005,20:01:59,15-02-2006 22:12,Jun-2005,Low,2005
259,10,1,2865,0.99,20-06-2005,00:00:55,15-02-2006 22:12,Jun-2005,Low,2005
260,10,2,3790,3.99,06-07-2005,14:13:45,15-02-2006 22:12,Jul-2005,Low,2005
261,10,2,4042,4.99,07-07-2005,03:06:40,15-02-2006 22:12,Jul-2005,Low,2005
262,10,1,4255,1.99,07-07-2005,14:14:13,15-02-2006 22:12,Jul-2005,Low,2005
263,10,1,5038,7.99,09-07-2005,03:12:52,15-02-2006 22:12,Jul-2005,High,2005
264,10,2,5068,2.99,09-07-2005,04:53:18,15-02-2006 22:12,Jul-2005,Low,2005
265,10,1,5444,0.99,09-07-2005,21:58:57,15-02-2006 22:12,Jul-2005,Low,2005
266,10,1,5905,2.99,10-07-2005,20:41:09,15-02-2006 22:12,Jul-2005,Low,2005
267,10,1,7738,2.99,28-07-2005,05:21:42,15-02-2006 22:12,Jul-2005,Low,2005
268,10,2,8001,6.99,28-07-2005,15:10:55,15-02-2006 22:12,Jul-2005,High,2005
269,10,2,8188,4.99,28-07-2005,22:34:12,15-02-2006 22:12,Jul-2005,Low,2005
270,10,1,9935,4.99,31-07-2005,15:27:07,15-02-2006 22:12,Jul-2005,Low,2005
271,10,2,10671,8.99,01-08-2005,17:09:59,15-02-2006 22:12,Aug-2005,High,2005
272,10,2,11289,2.99,02-08-2005,14:55:00,15-02-2006 22:12,Aug-2005,Low,2005
273,10,1,11405,0.99,02-08-2005,19:13:39,15-02-2006 22:12,Aug-2005,Low,2005
274,10,2,12031,2.99,17-08-2005,20:11:35,15-02-2006 22:12,Aug-2005,Low,2005
275,10,2,12400,2.99,18-08-2005,09:19:12,15-02-2006 22:12,Aug-2005,Low,2005
276,10,2,13316,4.99,19-08-2005,19:23:30,15-02-2006 22:12,Aug-2005,Low,2005
277,10,2,13917,2.99,20-08-2005,16:43:28,15-02-2006 22:12,Aug-2005,Low,2005
278,10,1,15370,5.99,22-08-2005,21:59:29,15-02-2006 22:12,Aug-2005,High,2005
279,11,1,987,6.99,30-05-2005,22:59:12,15-02-2006 22:12,May-2005,High,2005
280,11,1,1470,6.99,15-06-2005,20:53:07,15-02-2006 22:12,Jun-2005,High,2005
